model,review,make,extracted
AUDI Q4 e-tron,"With an increased demand for electric vehicles, Audi announced in 2019 the launch of the Q4 and Q4 Sportback when it unveiled the concept cars. It took another two years to introduce the production versions. While it wasn't the first electric car offered by the German carmaker, it was the first compact SUV in its lineup. The Q4 showed a new language into Audi's design language. The designers could shorten the front overhang since the car didn't need a long front area anymore due to smaller radiators. Still, they required an adequate length for the crumple zones. Its front fascia featured LED or, as an option, Matrix-LED headlights. The muscular SUV showed a cab-rearward styling with a raked windshield and a raked-forward rear windscreen. The blackened B- and C-pillars and the wide D-pillars showed a hatchback cabin design. Inside, the carmaker made a bold move and created a unique design for the Q4, with the center stack and the infotainment screen tilted toward the driver. There were no analog dials anywhere. In the instrument cluster, Audi introduced the Virtual Cockpit, used for several years on other products. To show its commitment toward sustainable production, Audi built the front seats with recycled materials. It used about 26 1.5-liter PET bottles for each seat. In the back, the carmaker installed a 40/20/40 split-folding bench, which could increase the trunk size from 520 liters (18.4 cu-ft) to 1,490 liters (52.6 cu-ft). Audi offered the Q4 e-tron with two battery variants and three drivetrains. For the base level, the carmaker provided a rear-wheel-drive Q35 version with a 55 kWh battery pack and the 82 kWh battery pack for the Q40 and Q50 all-wheel-drive, respectively. The rear-wheel-drive Q40 offered the highest range of up to 520 km (323.1 miles).",AUDI,"```json{  ""car-model"": ""Q4"",  ""year"": ""2019"",  ""size"": ""compact SUV"",  ""overall-design"": [""muscular"", ""cab-rearward"", ""sustainable"", ""unique"", ""bold""],  ""design-elements"": {    ""windshield"": [""raked"", ""forward""],    ""grille"": [],    ""hood"": [],    ""headlights"": [""LED"", ""Matrix-LED""],    ""bumper"": [],    ""wheel"": [],    ""doors"": [],    ""roof"": [""blackened"", ""hatchback""],    ""diffusor"": [],    ""spoiler"": [],    ""exhaust"": []  }}```"
AUDI SQ5 Sportback,"Audi made a name for itself for its high-performance turbodiesel engines. It used them to conquer the LeMans race and proved them worthy on many street vehicles. For the 2021 model-year, the German carmaker offered the Q5 with a diesel-fueled engine that could blast to 100 kph (62 mph) in just 5.1 seconds and named it SQ5 Sportback. A 4-door SUV coupe ready to hit the roads with the same confidence as the hottest hot-hatch available to its release time, in late 2020. The SQ5 Sportback featured a sloped roof and rear window. Its shape was closer to the Porsche Cayenne Coupe than to the Audi A5 Sportback, but since both brands are in the same boat, nobody complained about that. Unlike its non-S sibling, the SQ5 Sportback featured a bigger singleframe grille at the front and silver accents on the lower splitter and side-scoops. Audi hid the exhausts under the bumper in the rear, and, thankfully, it didn't install fake chromed exhausts. Inside, the clean lines were disrupted by the infotainment screen placed on top of the center stack on the dashboard. As usual, for the SQ trim levels, there were no analog dials on the instrument cluster. The Audi Virtual Cockpit TFT display replaced those. Audi installed two profiled seats on the bench in the back, but it could accommodate three occupants. Audi SQ5 featured a lowered suspension for improved cornering speed and was fitted as standard with 20"" light-alloy wheels. A set of 21"" was available as an option. For the powertrain, the SQ5 featured a twin-turbo V6 diesel engine with the turbochargers installed between the cylinder banks.",AUDI,"```json{  ""car-model"": ""SQ5 Sportback"",  ""year"": ""2021"",  ""size"": ""4-door SUV coupe"",  ""overall-design"": [""high-performance"", ""sloped roof"", ""clean lines"", ""sporty"", ""aggressive""],  ""design-elements"": {    ""windshield"": [""sloped""],    ""grille"": [""bigger"", ""singleframe""],    ""hood"": [],    ""headlights"": [],    ""bumper"": [""silver accents"", ""hidden exhausts""],    ""wheel"": [""20\"" light-alloy"", ""21\"" available""],    ""doors"": [],    ""roof"": [""sloped""],    ""diffusor"": [],    ""spoiler"": [],    ""exhaust"": [""hidden""]  }}```"
AUDI Q5 Sportback,"Audi introduced the second generation of the compact-size SUV Q5 in 2017 on the same MLB Evo platform shared with the Porsche Macan. Three years later, the German car-maker unveiled the facelift for it. While the European customers started to move away from the MPV segment toward the SUV segment, Audi understood that it could do a lot more on the market. At first, the German car-company from Ingolstadt introduced the Q7 in 2006, and after just two years, it brought the smaller Q5, which was launched into battle in the premium segment. The 2021 model year was the facelifted version for the second generation, which brought a refreshed image and better amenities. From the outside, the 2021 Q5 featured LED headlights and, as an option, matrix-design LED technology. A pair of large air intakes flanked the Singleframe grille. On the sides, the new sills brought a roughness appearance to the compact-sized SUV. In the back, Audi introduced the OLED technology option, which could offer different light signatures for the car. Inside, Audi offered the 2021 Q5 with a standard rear bench plus, configured for a different seatback angle. It could also slide forward to increase the trunk space. The power tailgate is standard, and it could be opened with a simple foot gesture, with the car's key in the pocket. For the infotainment system, the 2021 Q5 featured the MIB3 unit. The MMI navigation was equipped with a 10.1"" touch-screen display on the center stack. The Bang & Olufsen sound system was offered as an option. Audi installed a new, 2.0-liter TFSI engine under the hood. It was helped by a mild-hybrid system and paired to a 7-speed automatic (dual-clutch) gearbox. The all-wheel-drive system was a standard fit as well.",AUDI,"```json{  ""car-model"": ""Q5"",  ""year"": ""2021"",  ""size"": ""compact"",  ""overall-design"": [""refreshed"", ""premium"", ""roughness"", ""modern"", ""sleek""],  ""design-elements"": {    ""windshield"": [""large""],    ""grille"": [""Singleframe""],    ""hood"": [],    ""headlights"": [""LED"", ""matrix-design""],    ""bumper"": [""large air intakes""],    ""wheel"": [],    ""doors"": [""power tailgate""],    ""roof"": [],    ""diffusor"": [],    ""spoiler"": [],    ""exhaust"": [""mild-hybrid""]  }}```"
AUDI e-tron,"The e-tron was the first fully electric car built by Audi. It was shown as a concept car at the 2015 Frankfurt Motor Show. The first cars were delivered in 2019. In the quest for green motoring, some car-makers build their electric vehicles to look like a statement. Tesla Model-X or Jaguar E-Pace were designed to look different. On the other hand, the e-tron took a different path. It was built on an existing platform in a shape that was already known for customers who didn't want to prove anything special. The front fascia of the e-tron was dominated by the big singleframe grille. Even though electric cars need cooling for the motors and the batteries, they don't need the same big radiators. But the singleframe was still in place. It was painted in titanium-gray, which became a trademark for Audi's electrified models. On the sides, the car featured an option for two slim side-arms for rear-view cameras, instead of rear-view mirrors. The e-tron was equipped with a full LED light system for headlights and taillights. Inside, the e-tron offered only seating for five. It featured only digital displays for the instrument cluster, infotainment system, and two smaller screens on the doors for the rear-view cameras. It featured Valcona leather seats and natural wood inserts in the cabin, to enhance the luxury experience. The e-tron featured two electric motors, one for the front and one for the rear axle. The 95kWh and 700 kg (1543 lbs) battery pack was placed between the axles, in the floor. It was available with either a 120 kW charging system or 150 kW, while a standard 9.6 kW AC (11 kW AC for Europe) capsule charger was provided and designed to deliver a fresh charge overnight.",AUDI,"```json{  ""car-model"": ""e-tron"",  ""year"": ""2019"",  ""size"": ""mid-sized"",  ""overall-design"": [""luxurious"", ""sleek"", ""modern"", ""efficient""],  ""design-elements"": {    ""windshield"": [""sleek""],    ""grille"": [""big"", ""singleframe"", ""titanium-gray""],    ""hood"": [],    ""headlights"": [""full LED""],    ""bumper"": [],    ""wheel"": [],    ""doors"": [""digital displays"", ""Valcona leather"", ""natural wood inserts""],    ""roof"": [],    ""diffusor"": [],    ""spoiler"": [],    ""exhaust"": [""electric""]  }}```"
AUDI SQ8 e-tron,"Whenever an S-letter preceded a nameplate on an Audi, customers knew there was something special about it, and the 2022 SQ8 e-tron was no different. Audi unveiled the Q8 e-tron lineup in late 2022, replacing the former e-tron model that has been on the market since 2018. Yet, it was more than just a rename; it was a new era that defined the future of the German premium automaker. With the SQ8 e-tron version, Audi promised its customers that the performance part won't be left behind. Sporting an aggressive stance, with a lowered bodywork than its regular Q8 e-tron sibling. Its front fascia featured the same LED signature light that emphasized the car's width. In addition, the 3D grille sported a stylized honeycomb pattern. The side scoops in the lower bumper showed the same four slats design as the DRLs from the lower side of the headlights. From its profile, the flared wheel arches, the 22"" alloy wheels, and the side skirts created an even sportier look for the German crossover. Inside, Audi used recycled materials for the seats and the Dynamica microfiber door cards, with an option for a leather-wrapped interior. Still, customers were delighted with the luxurious amenities offered by Audi, regardless of their choice. The instrument panel was a TFT display fronting the driver. At the same time, on the center stack, the carmaker added two touch-screens for the MMI infotainment system. The upper one boasted a 10.1"" diagonal, while the lower one was of 8.6-inches. Like the regular Q8 e-tron, the SQ8 e-tron featured a 40/20/40 split-folding bench in the rear for three passengers. Apart from the rear trunk, the carmaker created a storage compartment under the hood, the so-called ""frunk."" Unlike its regular Q8 e-tron siblings, the SQ8 version fitted with a three-motor setup: one at the front and two at the rear axle. These provided 370 kW (496 HP) fed by a 114 kWh battery pack.",AUDI,"```json{  ""car-model"": ""SQ8 e-tron"",  ""year"": ""2022"",  ""size"": ""Sporty, Aggressive"",  ""overall-design"": [""Aggressive"", ""Sporty"", ""Luxurious"", ""Futuristic""],  ""design-elements"": {    ""windshield"": [],    ""grille"": [""3D"", ""Stylized"", ""Honeycomb""],    ""hood"": [""Lowered""],    ""headlights"": [""LED"", ""Signature"", ""Emphasized width""],    ""bumper"": [""Side scoops"", ""Four slats design""],    ""wheel"": [""Flared arches"", ""22\"" alloy wheels"", ""Sporty""],    ""doors"": [""Recycled materials"", ""Luxurious amenities""],    ""roof"": [],    ""diffusor"": [],    ""spoiler"": [],    ""exhaust"": [""Three-motor setup"", ""114 kWh battery pack""]  }}```"
AUDI Q8 e-tron,"Unveiled in late 2022, the Q8 e-tron was the natural evolution after the e-tron model was introduced in 2018, but it was more than just a re-branding move. Audi sold more than 150,000 units of the original e-tron model, and thanks to the feedback received from its customers, it managed to create an even better vehicle: the Q8 e-tron. The standard Q8 e-tron was built as a crossover vehicle with a shape that resembled the former e-tron. Yet, at the front, a new signature light combined the DRLs inside the headlights with a new light strip placed under the hood's edge. The singleframe grille was reimagined and available in black or aluminum color. Audi placed the side scoops on the lower bumper that deflected the air on the sides. From its profile, the sculptured doors channeled the air towards the back of the vehicle to reduce the drag. Finally, an LED light stripe at the back resembled the signature lights at the front, but in red. Under the rear bumper, the carmaker installed a four-slat diffuser. Inside, the Q8 e-tron boasted a luxurious cabin covered with Dynamica microfiber made from recycled materials. At the front, the carmaker installed bolstered seats for the entire range, with an option for leather-wrapped sports seats. Like any other high-tech vehicle from its era, the Q8 e-tron featured a digital instrument panel. Atop the center stack, the carmaker added the screen for the MMI infotainment unit, and underneath it, a touchscreen for climate control and other vehicle features. In the back, the automaker installed a 40/20/40 split-folding bench fit for three passengers. The drivetrain consisted of a dual-motor system that provided 300 kW (402 HP) and 664 Nm (490 lb-ft) of torque sent in all corners. Audi installed a standard air suspension for all trim levels to keep the car planted on the road.",AUDI,"```json{  ""car-model"": ""Q8 e-tron"",  ""year"": ""2022"",  ""size"": ""crossover"",  ""overall-design"": [""luxurious"", ""sculptured"", ""high-tech""],  ""design-elements"": {    ""windshield"": [],    ""grille"": [""singleframe"", ""black"", ""aluminum""],    ""hood"": [""new light strip""],    ""headlights"": [""DRLs"", ""LED light stripe""],    ""bumper"": [""side scoops"", ""lower"", ""rear"", ""four-slat diffuser""],    ""wheel"": [],    ""doors"": [""sculptured""],    ""roof"": [],    ""diffusor"": [""four-slat""],    ""spoiler"": [],    ""exhaust"": []  }}```"
AUDI Q3 Sportback,"The first Q3 was released to the public in 2018 and since then over 1,1 million units were sold worldwide. More expensive than the Q3, the Q3 Sportback was built on the same platform as its twin brother, the Q3, however, the roofline was lowered by 3 cm and its length was increased by 1,5 cm. The exterior designed was refreshed with a new bumper, a fake rear diffuser and new exhaust. From the side, the Q3 Sportback looked a bit like the Bentley Bentayga due to the lines on the back continued to the side. The front of the coupe SUV was different as the grille was refreshed. The interior remained pretty much the one we already knew from the previous Q3 model.  The interior design of the Q3 Sportback was rather unconventional with a dashboard wrapped up in Alcantara leather, as well as the door panels. In contrast, some of the materials used look cheap for an Audi. The S-line version came with partial leather seats, aluminum trims and pedals and a new steering wheel. A large central infotainment system was available, with in-built sat-nav and other features such as Apple Car Play and Android auto. The Q3 Sportback offered new safety systems such as auto emergency braking, adaptive cruise control with lane keeping and a 360 camera with a full view of the surroundings.",AUDI,"```json{  ""car-model"": ""Q3 Sportback"",  ""year"": ""2018"",  ""size"": ""Lowered roofline, increased length"",  ""overall-design"": [""Refreshed exterior design"", ""Bentley Bentayga resemblance"", ""Unconventional interior design"", ""S-line version with premium materials"", ""Large central infotainment system"", ""New safety systems""],  ""design-elements"": {    ""windshield"": [],    ""grille"": [""Refreshed""],    ""hood"": [],    ""headlights"": [],    ""bumper"": [""New""],    ""wheel"": [],    ""doors"": [],    ""roof"": [""Lowered""],    ""diffusor"": [""Fake rear""],    ""spoiler"": [],    ""exhaust"": [""New""]  }}```"
AUDI RS Q8,"Audi introduced the most powerful version of the Q8 in 2019 at the Los Angeles Auto Show and bragged about setting a lap record around the famous Nurburgring racetrack. With an increased demand for high-performance SUVs, Audi couldn’t sit tight and hope for the best. So, after launching the Q8 as an SUV-Coupe in 2018 and offering it with an S version that raised its power up to 507 PS (500 hp), the four-rings brand shook the market in 2019 when it unveiled the 600 PS (592 hp) RS Q8, which was available exclusively powered by a turbocharged gasoline engine, unlike the S Q8 that was made in two versions: a gas-powered and a turbo-diesel. But the most important part of the RS Q8 was that, underneath its skin, the RS Q8 was a Lamborghini Urus, but with less power. Audi was no stranger to SUVs and all-wheel drive systems. It was also known for creating several other potent SUVs, so the RS Q8 wasn’t exactly a surprise for them. But the car couldn’t look just like the S Q8; it had to be meaner. As a result, it featured a much more aggressive front fascia fitted with a wide single-frame grille finished in piano black. The automaker offered the RS Q8 with standard Matrix LED headlights featuring tri-dimensional daytime running lights. Their design was mimicked on the taillights. Since the car had a wider track than the regular Q8, its stance was already more aggressive, and thanks to the adaptive air suspension, it could be lowered to decrease ground effect. From its profile, the black door mirror caps and pillars emphasized the coupe-like shape of the greenhouse. Finally, at the back, the automaker installed two wide oval exhausts on the sides that flanked a diffuser placed underneath the bumper. Inside, the automaker created a luxurious cabin with sports bucket seats at the front and a bench profiled for two in the rear. These were covered in Valcona leather with a honeycomb pattern and RS embossing on the seatbacks. The driver fronted the already-known Audi Virtual Cockpit instrument cluster that could show more info about performance, navigation, and engine parameters. In addition, the automaker installed on the center stack its top-of-the-line MMI (Man-Machine-Interface) infotainment unit. But the most significant changes compared to the rest of the Audi Q8 range happened under the skin. Audi had increased the front and rear tracks increased over the standard Q8 by 120 mm (4.7”) and 458 mm (18”), respectively. In addition, it fitted the car with wider tires and 22” light-alloy wheels. The 4.0-liter twin-turbo hot-turbocharged V8 engine produced just 50 ponies (49 hp) less than the Urus. As a result, it was just 0.1-second slower on the 0 to 60 mph (0-97 kph) run than its Italian sibling. It was the most expensive RS-badged Audi.",AUDI,"```json{  ""car-model"": ""Audi Q8"",  ""year"": ""2019"",  ""size"": ""SUV-Coupe"",  ""overall-design"": [""aggressive"", ""luxurious"", ""sporty"", ""wide"", ""mean""],  ""design-elements"": {    ""windshield"": [],    ""grille"": [""wide"", ""piano black""],    ""hood"": [],    ""headlights"": [""Matrix LED"", ""tri-dimensional""],    ""bumper"": [""diffuser""],    ""wheel"": [""22” light-alloy""],    ""doors"": [""black door mirror caps""],    ""roof"": [""coupe-like shape""],    ""diffusor"": [""wide"", ""underneath the bumper""],    ""spoiler"": [],    ""exhaust"": [""wide oval""]  }}```"
AUDI e-tron Sportback,"Part of a multi-billion investment into battery powered vehicles, the Audi e-tron Sportback is Ingolstadt's second electric SUV and the second production model from its continuously expanding e-tron product line. Essentially, the model is a so-called ""four-door coupe"" version of the e-tron, which is a more traditional looking electric SUV. Coincidentally, the regular e-tron is already based on a more coupe-like SUV, the Audi Q8, but the e-tron Sportback takes that coupe-look even further. While the standard e-tron goes head-to-head with the Mercedes-Benz EQC and the BMW iX3, the Audi e-tron Sportback doesn't have a direct rival and is simply a more stylish alternative to any other electric SUV. The technical bits are largely identical between the two e-trons, but there are some performance and energy advantages on the Sportback's side thanks to its more aerodynamic exterior shape. In fact, the coupe-like body shape gives it a drag coefficient of just 0.25, almost as good as an aerodynamic sedan. Apparently, the improved aero alone gives the Sportback 10 km (6.2 miles) of more range compared to the normal e-tron. The sporty SUV has a range of up to 446 kilometers (277.1 miles) in the WLTP cycle, despite taking its electric juice from an identical, 95 kWh Lithium-ion battery.",AUDI,"```json{  ""car-model"": ""Audi e-tron Sportback"",  ""year"": """",  ""size"": ""SUV"",  ""overall-design"": [""four-door coupe"", ""stylish"", ""aerodynamic""],  ""design-elements"": {    ""windshield"": [],    ""grille"": [],    ""hood"": [],    ""headlights"": [],    ""bumper"": [],    ""wheel"": [],    ""doors"": [],    ""roof"": [""coupe-like""],    ""diffusor"": [],    ""spoiler"": [],    ""exhaust"": []  }}```"
AURUS Senat,"While the bigger Senat L700 limousine was built for the presidents and country rulers, the Senat S600 was made as a regular luxury sedan. With a new luxury brand of its own, the Russian oligarchs could ditch their S-Class and Rolls-Royces and take a proud, Russian luxury sedan. The carmaker promised that it would start production in 2020 and take orders from everyone who wants to have a vehicle designed for the State Duma (Russian Parliament). But the production was delayed once again and started in 2021. Yuri Chernenko finished its design after long debates and discussions with potential customers and a 24 professional designers jury. Even though it resembled a Rolls-Royce Ghost, the inspiration design was the 1945 ZIS-110, which was in turn inspired by a Packard. Its tall grille with vertical slats and the cab-rearward design and the sloped rear window was different than any other car designed and built in Russia or, before that, in the U.S.S.R. The LED headlights and taillights were developed by the NAMI, the State Research Institute of the Russian Federation. The interior featured a blend of leather and wood-trims in an exclusive Russian design theme. Its infotainment display sat at the same level with the TFT screen installed for the instrument panel and the entire dash panel. The center console sported the gear selector and the rotary knob for the infotainment unit. Aurus offered the option for either two individual seats or a bench profiled for two in the back. All seats featured power reclining and sliding. For the powertrain, NAMI worked together with Porsche and developed a hybrid system with a 4.4-liter twin-turbo V-8 engine. Its nine-speed automatic transmission sent the power in all corners.",AURUS,"```json{  ""car-model"": ""Senat S600"",  ""year"": ""2021"",  ""size"": ""luxury sedan"",  ""overall-design"": [""luxury"", ""tall grille"", ""cab-rearward design"", ""sloped rear window"", ""exclusive Russian design""],  ""design-elements"": {    ""windshield"": [""sloped""],    ""grille"": [""tall"", ""vertical slats""],    ""hood"": [],    ""headlights"": [""LED""],    ""bumper"": [],    ""wheel"": [],    ""doors"": [],    ""roof"": [""sloped""],    ""diffusor"": [],    ""spoiler"": [],    ""exhaust"": []  }}```"
BENTLEY Bentayga Speed,"The 2020 Bentley Bentayga Speed took the crown for the world's fastest SUV from its brother Lamborghini Urus by just a half of mile speed difference (0.8 kph). The Speed version for any Bentley was the faster one. So was the Bentayga, which received few updates so it can outrun the regular version and its brothers. The Urus, the Bentayga, and the Porsche Cayenne were built on the same platform. But not all of them had a W12 engine under the hood. For starters, the Bentayga Speed had a few details when compared to the standard version. Its front bumper and apron were different. To create a sporty look, the car featured dark-tinted headlights, side sills, and a longer roof-spoiler on top of the tailgate. Under the redesigned apron, the Bentayga Speed featured an Akrapovic exhaust. The “Speed” badge was shown on the front door panels. A unique design for the 22” light-alloy wheels was adopted to fit with the sportiest version of the Bentayga. Inside, there was a mix of luxury and sportiness. It looked like a grand-tourer SUV. The center stack was the home of the infotainment system and another 26 buttons and knobs. Next to the gear selector, there were some other buttons, just in case those 26 were not enough. A carbon-fiber trim was used for the dashboard and the rear center console. Under the hood, there was an upgraded version of the twin-turbo, 6.0-liter engine. It was upgraded by 26 hp over the regular model with the same engine.",BENTLEY,"```json{  ""car-model"": ""Bentley Bentayga Speed"",  ""year"": ""2020"",  ""size"": ""SUV"",  ""overall-design"": [""luxury"", ""sporty"", ""grand-tourer""],  ""design-elements"": {    ""windshield"": [],    ""grille"": [],    ""hood"": [""redesigned""],    ""headlights"": [""dark-tinted""],    ""bumper"": [""different"", ""redesigned""],    ""wheel"": [""22-inch light-alloy"", ""unique design""],    ""doors"": [""featured 'Speed' badge""],    ""roof"": [""longer roof-spoiler""],    ""diffusor"": [],    ""spoiler"": [""longer roof-spoiler""],    ""exhaust"": [""Akrapovic""]  }}```"
BENTLEY Bentayga,"Bentley introduced the fourth version for its SUV Bentayga in 2021, the S-version, which was tuned for spirited on-road driving without giving up its off-road abilities. The Bentayga shared its platform with the Porsche Cayenne and the Audi Q7, but it was built on a higher quality level and with much more expensive materials. Still, Bentley built it in its carbon-neutral factory from Crewe, in the U.K. Visually, there were quite a few differences between the regular Bentayga and the S-version. At the front, the carmaker installed smoked headlights and gloss-black lower bumpers. The trapezoidal lower grille at the front and the side scoops were also painted in black. On the sides, the carmaker added S-badges on the front doors. A new set of unique 22” light-alloy wheels enhanced the sporty appearance of the big SUV, while at the back, the lower black edge and the black split oval exhausts completed the aggressive image of the car. Inside, there was an enhanced interior with new, higher bolsters for the bucket seats and new pads on the door cards. The three-spoke steering wheel sported red stitching and aluminum trim on the lower side. A few S-badges were placed around the cabin, in front of the passenger, and inside the instrument panel. Under the hood, the carmaker installed a 4.0-liter twin-scroll turbocharged engine paired to an eight-speed automatic gearbox. A new active suspension system reacted faster to provide better cornering abilities, which worked together with the Electronic Stability Control and the Bentley Dynamic Ride system.",BENTLEY,"```json{  ""car-model"": ""Bentayga"",  ""year"": ""2021"",  ""size"": ""big SUV"",  ""overall-design"": [""sporty"", ""aggressive"", ""luxurious""],  ""design-elements"": {    ""windshield"": [],    ""grille"": [""trapezoidal"", ""smoked"", ""gloss-black""],    ""hood"": [],    ""headlights"": [""smoked""],    ""bumper"": [""gloss-black"", ""lower""],    ""wheel"": [""22” light-alloy"", ""unique""],    ""doors"": [""S-badges""],    ""roof"": [],    ""diffusor"": [],    ""spoiler"": [],    ""exhaust"": [""black split oval""]  }}```"
BENTLEY Flying Spur,"Bentley released the new generation of its luxurious Flying Spur sedan in 2019. The British carmaker has added a ton of new technology in it, starting from the mild-hybrid 48-volt system and going through the infotainment system. On top of that, the flying B logo raises up from underneath the hood and is illuminated. Bentley is considered one of the most luxurious driver's cars in the world. Its goal is to make a top luxury vehicle but in supercar area of performance. In order to achieve this, Bentley engineers used the new W12-engine with 6.0-liters of displacement and twin-turbos, which results in 635 hp and 900 Nm (664 lb-ft) of torque. This unit is coupled to an 8-speed dual-clutch gearbox. The result is translated into a sum of great performances: 0-60 mph in 3.7 seconds (0-100 kph in 3.8 seconds) and a top speed of 207 mph (333 kph). Inside the new Bentley Flying Spur, the customers can choose between 16 colors of leather and wood veneer to match their personality. The modern side of the vehicle can be noticed on the Bentley Rotating Display, which can show either a wooden veneer, a 12.3 touch-screen display or three elegant round analog dials. On the outside, there are more refinement touches, which will show the value of the Bentley brand and its customers. Diamond-like LED Matrix headlights, a dark front grille and 22” wheels are just a few touches of luxury for the great, 2019 Flying Spur.",BENTLEY,"```json{  ""car-model"": ""Flying Spur"",  ""year"": ""2019"",  ""size"": ""large"",  ""overall-design"": [""luxurious"", ""modern"", ""refined"", ""elegant"", ""sleek""],  ""design-elements"": {    ""windshield"": [],    ""grille"": [""dark""],    ""hood"": [],    ""headlights"": [""diamond-like"", ""LED"", ""Matrix""],    ""bumper"": [],    ""wheel"": [""22-inch""],    ""doors"": [],    ""roof"": [],    ""diffusor"": [],    ""spoiler"": [],    ""exhaust"": []  }}```"
BENTLEY Continental GT,"Bentley introduced the third generation of the Continental GT in 2018 with two engine choices, but the Speed version came in 2021 with more power and more technologies. After Volkswagen took-over the Bentley brand, it transformed it into the fastest luxury brand globally and took a different path than its former partner, Rolls-Royce. With the Continental GT range, Bentley conquered the personal luxury coupe market. The 2021 Continental GT Speed featured similar styling to the rest of the range. The main difference was the black mesh-grille at the front, instead of the silver-metallic one from the regular Continental GT. On the sides, the car featured unique side sills and 22"" light-alloy wheels. Last but not least, a discreet ""Speed"" badge found its place on the front fenders. Inside, the GT Speed showcased Bentley's expertise in blending luxury materials with race-inspired ones, such as leather, Alcantara, and carbon-fiber. The carmaker created a unique design for the dashboard, and, in front of the passenger, it installed a ""Speed"" badge, which matched the one from the front fenders. Apart from the 24 hp increase over the standard Continental GT, the Speed offered more performance-oriented upgrades. The carmaker installed an electronic limited-slip differential, eLSD, for the rear axle that enhanced the traction. With these improvements, the GT Speed got the same 0-100 kph (0-62 mph) time as a Lamborghini Hurracan. For cornering speed, Bentley installed an active suspension system and four-wheel steering.",BENTLEY,"```json{  ""car-model"": ""Continental GT"",  ""year"": ""2021"",  ""size"": """",  ""overall-design"": [""luxury"", ""race-inspired"", ""discreet"", ""unique"", ""performance-oriented""],  ""design-elements"": {    ""windshield"": [],    ""grille"": [""black"", ""mesh""],    ""hood"": [],    ""headlights"": [],    ""bumper"": [],    ""wheel"": [""22-inch"", ""light-alloy""],    ""doors"": [],    ""roof"": [],    ""diffusor"": [],    ""spoiler"": [],    ""exhaust"": []  }}```"
BENTLEY Continental GTC,"The third generation of the Bentley Continental GT was launched at the 2017 Frankfurt Motor Show. One year later, in November, the Convertible version was shown. It might seem strange to see an open-top vehicle launched when winter was coming (along with the 8th sequel of the Game of Thrones), but it was the right moment since the waiting period between order and delivery took just about enough for the car to be ready in the spring. The 2.5-ton vehicle was based on the GT model and shared the same platform with the Porsche Panamera. Compared to the previous generation, the 2018 GTC was lighter by around 80 kg (176 lbs) and more powerful. The 6.0-liter W12 engine was offered with more power, offering 635 hp, 60 hp more than before. The torque has been increased too, from 700 Nm (516.3 lb-ft) to 900 Nm (663.8 lb-ft). As a result, the 0-100 kph (0-62 mph) sprint was obtained in 3.8 seconds, which is supercar territory. But the GTC was an open-top Granturismo, built for relaxed driving. It doesn't have a big trunk. The interior features are top quality, with beautifully crafted leather, custom stitches with designated colors. But the feature that attracts the biggest applause was the Bentley Rotating Display in the middle of the dashboard, which is like in a 007 movie when at a touch of a button a panel rotates and reveals a 12.3” touch-screen, and on the other side there are three analog dials.",BENTLEY,"```json{  ""car-model"": ""Bentley Continental GT"",  ""year"": ""2018"",  ""size"": ""2.5-ton"",  ""overall-design"": [""luxurious"", ""powerful"", ""sleek"", ""elegant"", ""refined""],  ""design-elements"": {    ""windshield"": [""curved"", ""aerodynamic""],    ""grille"": [""bold"", ""iconic""],    ""hood"": [""streamlined"", ""sculpted""],    ""headlights"": [""sleek"", ""modern""],    ""bumper"": [""low-profile"", ""integrated""],    ""wheel"": [""stylish"", ""large""],    ""doors"": [""luxurious"", ""solid""],    ""roof"": [""retractable"", ""sophisticated""],    ""diffusor"": [""aerodynamic"", ""functional""],    ""spoiler"": [""subtle"", ""aesthetic""],    ""exhaust"": [""dual"", ""polished""]  }}```"
BENTLEY Mulsanne,"A perfect example of mega-luxury obtained by perfectly blending retro styling cues with modern amenities, the Bentley Mulsanne was the perfect choice for customers looking for opulence. With a hand-made interior crafted with high care and a sculpted exterior, the large sedan had very few rivals on the market, such as the Rolls Royce’s Phantom or the Mercedes’ Maybach S600. The large luxury sedan offered seating for five and was available in two trim levels, the base and the Speed. The Mulsanne in the base trim level was well equipped and included 20-inch alloys, bi-xenon headlights, heated and auto dimming mirrors, parking sensors, soft-close doors, a sunroof and an air-ride suspension. The interior was fitted with leather upholstery, wood accents, heated front seats, automatic climate control, rear window privacy screens, an 8-inch touchscreen and Bluetooth Connectivity. Moving to the Speed trim level, the Mulsanne was equipped with a more powerful engine and included 21-inch alloys, selectable drive modes and the Mulliner packaged that could also be added to the base level. The Mullinger Package included a tweaked suspension, diamond-quilted upholstery, a leather headliner and metal sports pedals. An extensive list of stand-alone options included adaptive cruise control, a heated steering wheel, a refrigerated bottle cooler, lots of exterior and interior color choices as well as a customer color palette for an extra fee.",BENTLEY,"```json{  ""car-model"": ""Bentley Mulsanne"",  ""year"": """",  ""size"": ""large luxury sedan"",  ""overall-design"": [""retro styling cues"", ""modern amenities"", ""sculpted exterior"", ""hand-made interior"", ""opulence""],  ""design-elements"": {    ""windshield"": [],    ""grille"": [""retro"", ""luxurious""],    ""hood"": [""sculpted""],    ""headlights"": [""bi-xenon""],    ""bumper"": [],    ""wheel"": [""20-inch alloys"", ""21-inch alloys""],    ""doors"": [""soft-close""],    ""roof"": [""sunroof""],    ""diffusor"": [],    ""spoiler"": [],    ""exhaust"": []  }}```"
